,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p1,Conference Domain,Tree,0.608695652,26,3.60719086,3.515120968,3.561155914,2422,357.453,147.5858794,62.34436098,2421,334228.4466,138.0538813,188.542741,1927.822,796.291615,2085.008822,983,2.309948118,2.115884067,3.508403542,3.41853539,3.463469466
1,p1,Biomedical Domain,Graph,0.52173913,38,3.60719086,3.515120968,3.561155914,2647,402.613,152.1016245,68.11045358,2646,425894.3592,160.9578077,246.7706792,1125.335,425.2966742,637.4517233,605,2.522745455,3.718366565,3.5299322,3.486428459,3.508180329
2,p3,Conference Domain,Tree,0.47826087,10,2.969954733,3.052866255,3.011410494,7967,2462.609,309.1011673,249.3451409,7966,976608.4631,122.5970955,160.1707124,553.672,69.50439367,96.28650707,890,3.371638202,4.053846647,3.111158641,3.169589242,3.140373941
3,p3,Biomedical Domain,Graph,0.391304348,50,2.969954733,3.052866255,3.011410494,1564,515.632,329.6879795,275.8449611,1563,211030.4672,135.0162938,204.980892,112.439,71.93793986,110.6916475,172,3.638738372,4.090640653,3.156438567,3.220063333,3.18825095
4,p5,Conference Domain,Tree,0.52173913,22,3.293776786,3.309026786,3.301401786,1604,274.515,171.144015,159.2426746,1603,210346.1376,131.220298,189.7768256,1350.291,842.3524641,5460.545698,600,2.693921667,3.278239849,3.292229674,3.307500995,3.299865334
5,p5,Biomedical Domain,Graph,0.434782609,27,3.293776786,3.309026786,3.301401786,2445,498.604,203.9280164,152.5337254,2444,308060.1424,126.0475215,185.471288,815.417,333.6403437,790.9699116,313,4.066661342,7.459629864,3.3498113,3.355890531,3.352850916
6,p7,Conference Domain,Tree,0.565217391,16,3.688890295,3.613177215,3.651033755,2467,559.282,226.7053101,151.6648068,2466,263107.5563,106.6940618,144.5300633,646.498,262.1646391,4374.620731,376,3.195226064,4.540133721,3.721660635,3.526335712,3.623998173
7,p7,Biomedical Domain,Graph,0.086956522,20,3.688890295,3.613177215,3.651033755,2711,673.24,248.3364072,188.0125076,2710,329796.1187,121.6959848,187.1480214,333.584,123.0937269,259.030213,363,2.73476584,3.778254155,3.69468287,3.515025012,3.604853941
8,p11,Conference Domain,Tree,0.47826087,15,4.106170626,3.73125486,3.918712743,3657,579.093,158.3519278,69.68756484,3656,518608.3565,141.851301,195.2559483,1404.627,384.1977571,727.4136693,829,2.384907117,2.735776039,4.007687465,3.558449852,3.783068658
9,p11,Biomedical Domain,Graph,0.347826087,33,4.106170626,3.73125486,3.918712743,1152,165.166,143.3732639,53.9997707,1151,186921.1625,162.3989248,230.6768117,771.717,670.4752389,1858.738311,303,3.090250825,4.311739997,3.908291702,3.5319786,3.720135151
