,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p6,1,2,0.869565217,26,3.2985312499999995,3.45478958333333,3.376660416666666,6752,1355.507,200.75636848341233,133.30242457841027,6751,714182.6458946187,105.78916396009788,175.94632050755712,1263.48,187.15449563027698,258.29928889968886,152,3.6948486842105264,6.099262225235417,3.6074967496773636,3.8270156780268345,3.7172562138520253
1,p18,1,2,0.739130435,21,2.4693193277310934,2.3196050420168093,2.3944621848739507,3559,651.412,183.03231244731666,125.57563162952253,3558,524393.2280115472,147.38426869352077,204.92329014644216,964.344,271.035413153457,402.45627464951224,152,3.6948486842105264,6.099262225235417,2.801012760912315,2.6429005803250933,2.721956670618702
2,p24,2,1,0.739130435,25,3.604751527494911,3.5804052953156797,3.5925784114052908,2522,352.379,139.72204599524187,50.588485104475396,2521,427496.456464462,169.5741596447684,220.24879658781785,1610.727,638.9238397461324,897.5271821009161,152,3.6948486842105264,6.099262225235417,3.8641596720753983,3.737859846232287,3.80100975915387
3,p6,2,1,0.739130435,43,3.2985312499999995,3.45478958333333,3.376660416666666,4297,852.711,198.44333255759832,125.49620363013715,4296,549868.3145815743,127.99541773314118,195.39322840939315,686.603,159.8237895716946,233.59502064273877,152,3.6948486842105264,6.099262225235417,3.4682268933539793,3.6624442923382436,3.565335592846085
4,p12,2,1,0.695652174,11,3.7368842794759827,3.7936179039301305,3.7652510917030617,2333,453.578,194.4183454779254,137.4741511564912,2332,280861.81839645666,120.43817255422675,179.76251654920168,520.548,223.21955403087478,318.2487132662727,152,3.6948486842105264,6.099262225235417,3.8008834387841484,3.832908790468101,3.8168961146261227
5,p35,1,1,0.608695652,9,3.8055598377281976,3.937056795131852,3.8713083164300204,3763,800.892,212.833377624236,151.7625969710135,3762,379906.500623286,100.98524737461102,140.91643594152455,1476.111,392.3740031897927,1488.871060224609,152,3.6948486842105264,6.099262225235417,3.8270922075927376,3.9667410396392633,3.89691662361597
6,p10,1,2,0.608695652,17,3.95265756302521,4.15712394957983,4.054890756302515,4928,1097.945,222.79728084415584,144.03632336483795,4927,594968.6631801666,120.75678164809518,191.73350599975578,640.565,130.0111629795007,171.30651157100073,152,3.6948486842105264,6.099262225235417,3.959827182183904,4.399944021712786,4.179885601948304
7,p17,2,2,0.608695652,22,3.8232124999999995,3.3352500000000007,3.579231249999999,1347,357.818,265.6406829992576,245.15314692287748,1346,174723.6423298549,129.8095411068757,174.07672147101226,473.116,351.49777117384843,857.2207510205046,152,3.6948486842105264,6.099262225235417,4.144957844146951,3.613000549261917,3.8789791967044356
8,p1,1,1,0.608695652,26,3.6071908602150566,3.5151209677419373,3.561155913978494,2422,357.453,147.5858794384806,62.34436098132455,2421,334228.4466362502,138.05388130369664,188.54274095066677,1927.822,796.2916150351094,2085.008821564052,152,3.6948486842105264,6.099262225235417,3.508403542418772,3.418535390342929,3.463469466380863
9,p34,1,2,0.608695652,38,3.4018754940711453,3.5628142292490117,3.482344861660082,6902,1502.96,217.75717183425095,146.06360161437266,6901,985287.8258498942,142.77464510214438,210.69268964461904,1419.637,205.71467903202435,1153.5037600814853,152,3.6948486842105264,6.099262225235417,3.585289661961655,3.8177384988643945,3.701514080412948
