,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p6,Conference Domain,Graph,0.869565217,26,3.2985312499999995,3.45478958333333,3.376660416666666,6752,1355.507,200.75636848341233,133.30242457841027,6751,714182.6458946187,105.78916396009788,175.94632050755712,1263.48,187.15449563027698,258.29928889968886,666,3.901247747747748,5.763015381108197,3.6074967496773636,3.8270156780268345,3.7172562138520253
1,p18,Conference Domain,Graph,0.739130435,21,2.4693193277310934,2.3196050420168093,2.3944621848739507,3559,651.412,183.03231244731666,125.57563162952253,3558,524393.2280115472,147.38426869352077,204.92329014644216,964.344,271.035413153457,402.45627464951224,589,2.713365025466893,3.5185833155550816,2.801012760912315,2.6429005803250933,2.721956670618702
2,p24,Biomedical Domain,Tree,0.739130435,25,3.604751527494911,3.5804052953156797,3.5925784114052908,1834,258.91,141.1723009814613,52.242727134036635,1833,279982.2687684589,152.74537303243818,217.07247787781856,1217.362,664.1363884342608,1283.7464753787756,628,2.342235668789809,3.688548843321855,3.8819705946830663,3.7958979436739275,3.838934269178471
3,p6,Biomedical Domain,Tree,0.739130435,43,3.2985312499999995,3.45478958333333,3.376660416666666,6752,1355.507,200.75636848341233,133.30242457841027,6751,714182.6458946187,105.78916396009788,175.94632050755712,1263.48,187.15449563027698,258.29928889968886,666,3.901247747747748,5.763015381108197,3.6074967496773636,3.8270156780268345,3.7172562138520253
4,p12,Biomedical Domain,Tree,0.695652174,11,3.7368842794759827,3.7936179039301305,3.7652510917030617,1132,205.727,181.7376325088339,107.55075324788109,1131,128494.93601397326,113.61179134745647,183.14526885714875,459.508,406.28470380194517,693.9355318845084,239,2.7748912133891213,2.9962006355749864,3.8100494439967987,3.8662530539887277,3.838151248992745
5,p35,Conference Domain,Tree,0.608695652,9,3.8055598377281976,3.937056795131852,3.8713083164300204,1018,227.707,223.68074656188605,159.51216572842162,1017,123873.3227317947,121.80267721907052,188.1048607480747,298.862,293.86627335299903,712.9115897890074,144,3.5920555555555556,3.7440724355287776,3.8084459006243,3.870380733708265,3.8394133171663136
6,p10,Conference Domain,Graph,0.608695652,17,3.95265756302521,4.15712394957983,4.054890756302515,4928,1097.945,222.79728084415584,144.03632336483795,4927,594968.6631801666,120.75678164809518,191.73350599975578,640.565,130.0111629795007,171.30651157100073,549,3.129287795992714,4.308918772733485,3.959827182183904,4.399944021712786,4.179885601948304
7,p17,Biomedical Domain,Graph,0.608695652,22,3.8232124999999995,3.3352500000000007,3.579231249999999,1347,357.818,265.6406829992576,245.15314692287748,1346,174723.6423298549,129.8095411068757,174.07672147101226,473.116,351.49777117384843,857.2207510205046,312,2.610724358974359,3.0979359928409007,4.144957844146951,3.613000549261917,3.8789791967044356
8,p1,Conference Domain,Tree,0.608695652,26,3.6071908602150566,3.5151209677419373,3.561155913978494,2647,402.613,152.10162448054402,68.11045357541555,2646,425894.3592461465,160.95780772719084,246.77067916470878,1125.335,425.2966742252457,637.4517232502848,605,2.522745454545454,3.7183665645830666,3.5299322001694837,3.486428458682872,3.508180329426178
9,p34,Conference Domain,Graph,0.608695652,38,3.4018754940711453,3.5628142292490117,3.482344861660082,6902,1502.96,217.75717183425095,146.06360161437266,6901,985287.8258498942,142.77464510214438,210.69268964461904,1419.637,205.71467903202435,1153.5037600814853,1000,2.919105,6.514010645575102,3.585289661961655,3.8177384988643945,3.701514080412948
10,p21,Biomedical Domain,Graph,0.565217391,6,3.2384911111111134,3.1988688888888883,3.218680000000005,2262,672.829,297.44871794871796,274.2286674121485,2261,323198.09513717116,142.94475680547163,185.1616178649484,251.991,111.45112781954887,181.25833255136945,355,2.5602845070422537,3.2402936796981066,3.401386277001285,3.356179592913145,3.378782934957192
11,p15,Biomedical Domain,Graph,0.565217391,13,3.9384463157894736,3.6166294736842075,3.777537894736837,1007,176.76,175.5312810327706,107.23433011547924,1006,136636.4573895667,135.82152822024517,192.14469709994734,340.539,338.5079522862823,608.4893041541742,129,3.790705426356589,4.864457472966379,4.181660099816134,3.8873660800280283,4.034513089922097
12,p23,Conference Domain,Tree,0.565217391,13,3.8330865979381445,3.687593814432993,3.760340206185568,1824,604.093,331.19133771929825,275.4409084241769,1823,248624.04036692056,136.38181040423532,195.84963690808144,168.924,92.66264399341745,311.9018495223867,447,1.6920469798657718,2.6203411409771364,4.015884417930966,3.8167216852611237,3.9163030515960267
13,p19,Conference Domain,Tree,0.565217391,14,3.8977268907563047,3.666111344537814,3.781919117647061,1847,362.232,196.11911207363292,128.56486741293594,1846,225869.1223992228,122.35597096382591,184.19172175239459,435.727,236.03846153846155,394.9725950283531,241,3.2442821576763485,3.579399864044529,3.8672329960376133,3.7653847463732464,3.8163088712054254
